date,load_forecast_mean_mw,load_forecast_max_mw,load_forecast_min_mw
2024-06-17,23762.130833333333,29232.66,20384.68
2024-06-18,24400.801666666666,30243.53,20688.32
2024-06-19,24056.474583333333,29280.44,20397.15
2024-06-20,25139.752916666665,31065.59,21649.7
2024-06-21,27083.992499999997,34531.95,22436.21
2024-06-22,28482.495,37535.69,23143.9
2024-06-23,27956.447083333333,36323.78,22869.08
2024-06-24,29566.6725,37390.9,23580.68
2024-06-25,29885.5425,37289.65,24332.99
2024-06-26,29301.690416666668,35883.9,24396.29
2024-06-27,28516.632083333334,34598.98,23983.72
2024-06-28,27578.1725,33798.47,23682.43
2024-06-29,26252.12125,34156.19,20977.94
2024-06-30,27706.638333333332,36757.5,22126.42
2024-07-01,30667.92,39660.92,23804.84
2024-07-02,33166.278750000005,43120.49,25338.88
2024-07-03,34738.736666666664,45341.35,26507.42
2024-07-04,31827.952916666665,41588.66,25111.25
2024-07-05,34425.32666666667,44164.84,26744.56
2024-07-06,31995.895,41216.29,25177.8
2024-07-07,30399.100000000002,39898.56,23902.32
2024-07-08,34226.941666666666,44378.69,26033.58
2024-07-09,34568.31375,44674.19,26321.35
2024-07-10,34626.3425,45455.45,26313.92
2024-07-11,35235.30625,45302.8,27041.76
2024-07-12,33407.330416666664,42055.78,26577.74
2024-07-13,30665.50333333333,38352.71,25538.96
2024-07-14,28231.576666666664,36154.91,23016.33
2024-07-15,29547.9725,37143.71,24115.68
2024-07-16,28472.77791666667,35545.72,23845.37
2024-07-17,29147.51958333333,36850.57,24445.97
2024-07-18,31223.49166666667,39356.02,25217.51
2024-07-19,32378.5975,41473.08,25540.59
2024-07-20,30123.739166666666,37983.07,24782.52
2024-07-21,28693.75333333333,36888.4,23204.08
2024-07-22,32892.322916666664,42930.45,25034.41
2024-07-23,33815.941249999996,43115.52,26401.89
2024-07-24,34348.87666666667,43595.87,27092.69
2024-07-25,34640.337916666664,44150.39,27253.25
2024-07-26,32069.152916666662,39204.07,26549.49
2024-07-27,26615.453333333335,32813.13,22517.18
2024-07-28,24600.310833333333,31827.01,19430.61
2024-07-29,26924.051666666666,33879.55,22316.93
2024-07-30,28181.158333333336,35667.16,23279.94
2024-07-31,29639.9425,38359.2,24032.34
2024-08-01,31021.980833333335,39537.52,24768.92
2024-08-02,32620.458333333332,41163.0,26007.53
2024-08-03,32053.971666666668,41153.07,25936.65
2024-08-04,30517.45708333333,40023.41,24027.08
2024-08-05,33059.7025,43517.67,24743.12
2024-08-06,34703.87583333333,45082.98,26240.51
2024-08-07,33746.46958333333,42854.17,26304.65
2024-08-08,31490.243749999998,39420.38,25538.27
2024-08-09,31335.662916666668,40059.21,25222.69
2024-08-10,29860.538750000003,39051.15,24513.26
2024-08-11,28656.778333333332,37061.28,23338.21
2024-08-12,30211.74541666667,37960.04,24187.51
2024-08-13,29531.929583333334,37178.7,24232.71
2024-08-14,30250.759166666667,37834.72,24750.19
2024-08-15,30524.16625,39596.79,24393.6
2024-08-16,30631.44875,39485.46,24679.15
2024-08-17,27766.895416666666,34944.37,23644.48
2024-08-18,26470.178750000003,34632.13,21591.18
2024-08-19,28842.913333333334,37236.42,22655.8
2024-08-20,30994.430833333332,40136.52,24302.27
2024-08-21,30511.804583333334,39288.68,23851.7
2024-08-22,27919.4025,35205.36,23287.04
2024-08-23,26890.117083333334,32582.85,23341.93
2024-08-24,24194.49541666667,30441.4,20095.64
2024-08-25,23741.037916666668,31742.91,17673.51
2024-08-26,28592.579166666666,37503.23,22458.36
2024-08-27,30305.839583333334,39517.63,23819.36
2024-08-28,30158.17125,38826.02,24171.74
2024-08-29,29346.1275,37610.09,23946.9
2024-08-30,29212.86375,37394.58,23748.09
2024-08-31,27637.084583333333,36267.76,22660.63
2024-09-01,27388.92375,35561.36,22383.39
2024-09-02,28318.60375,37470.86,22894.04
2024-09-03,31890.975416666668,42132.34,24226.86
2024-09-04,34284.269166666665,45428.59,25410.77
2024-09-05,36788.38166666667,48519.65,26863.26
2024-09-06,36933.433333333334,48015.43,27608.74
2024-09-07,33871.70875,43888.46,26606.43
2024-09-08,33395.73375,42947.97,26160.17
2024-09-09,36182.050833333335,46879.59,26967.17
2024-09-10,33041.128333333334,41518.02,25810.2
2024-09-11,28074.85541666667,34081.93,23803.82
2024-09-12,26518.90291666667,32381.79,22777.91
2024-09-13,26399.554999999997,32480.3,22307.79
2024-09-14,23962.172916666666,30477.08,19486.01
2024-09-15,22374.18375,27420.91,18061.71
2024-09-16,24278.349583333333,28218.4,21144.35
2024-09-17,23746.532083333335,28547.9,20579.22
2024-09-18,24486.3475,28865.49,21341.45
2024-09-19,24743.595,29174.12,21320.2
2024-09-20,24908.440416666665,29682.72,21408.35
2024-09-21,23199.2825,28980.02,19049.8
2024-09-22,24280.592083333333,31837.21,19629.58
2024-09-23,28951.696666666667,37783.13,22577.36
2024-09-24,29058.53,37616.5,22751.3
2024-09-25,27191.29875,33485.55,22840.26
2024-09-26,25921.767916666668,32373.18,21935.92
2024-09-27,26560.144166666665,33455.4,21890.96
2024-09-28,23935.486666666664,30653.82,19786.47
2024-09-29,23140.069166666668,30247.02,18581.89
2024-09-30,26902.45875,35486.61,20587.33
2024-10-01,30337.961250000004,39837.22,22884.39
2024-10-02,31916.7,42587.1,23919.99
2024-10-03,30856.500833333335,40410.96,24009.74
2024-10-04,30034.766666666666,38344.79,23672.48
2024-10-05,28212.90958333333,36964.43,23006.39
2024-10-06,27559.25791666667,36864.5,22121.24
2024-10-07,29937.258749999997,39133.7,22711.31
2024-10-08,28636.951666666664,36546.0,22930.16
2024-10-09,27429.317916666667,35008.44,22403.81
2024-10-10,26421.487916666665,32669.22,22018.33
2024-10-11,25257.944583333334,30215.31,21785.52
2024-10-12,22934.726250000003,27907.53,19499.46
2024-10-13,21856.295833333334,27190.8,17714.19
2024-10-14,23947.65291666667,29170.64,20167.34
2024-10-15,24298.90958333333,29368.45,20837.05
2024-10-16,24619.51166666667,28811.88,21380.53
2024-10-17,24234.885,28021.21,20971.36
2024-10-18,23144.122083333335,26565.5,19967.08
2024-10-19,21310.91125,25332.58,17061.59
2024-10-20,21004.180833333332,25826.27,16674.08
2024-10-21,23754.244583333333,29207.18,20089.17
2024-10-22,24138.307083333333,29674.15,20487.11
2024-10-23,23799.36333333333,29505.31,20471.84
2024-10-24,23699.9175,28825.06,20375.93
2024-10-25,23564.547083333335,28117.7,20352.04
2024-10-26,21389.9425,26257.66,17737.0
2024-10-27,21557.78875,25987.67,19078.41
2024-10-28,23283.73125,27108.91,19805.18
2024-10-29,22834.005416666667,26794.53,19551.98
2024-10-30,23359.737916666665,26948.69,20720.55
2024-10-31,23092.55416666667,26604.49,20424.01
2024-11-01,22979.025416666667,26480.62,20120.4
2024-11-02,21223.14416666667,24539.1,17888.03
2024-11-03,20270.053200000002,24692.64,15668.69
2024-11-04,22881.702916666665,27627.67,19586.66
2024-11-05,23219.86333333333,28230.75,19917.41
2024-11-06,22916.660416666666,27722.63,19401.53
2024-11-07,22715.670416666664,27296.51,18980.42
2024-11-08,22699.755,26889.5,19106.5
